"","home_rank","home_total_points","home_previous_points","home_rank_change","home_cur_year_avg","home_cur_year_avg_weighted","home_last_year_avg","home_last_year_avg_weighted","home_two_year_ago_avg","home_two_year_ago_weighted","home_three_year_ago_avg","home_three_year_ago_weighted","home_elo_rating","home_elo_rank_change","home_elo_rating_change","away_rank","away_total_points","away_previous_points","away_rank_change","away_cur_year_avg","away_cur_year_avg_weighted","away_last_year_avg","away_last_year_avg_weighted","away_two_year_ago_avg","away_two_year_ago_weighted","away_three_year_ago_avg","away_three_year_ago_weighted","away_elo_rating","away_elo_rank_change","away_elo_rating_change","outcome","home_teamArgentina","home_teamAustralia","home_teamBelgium","home_teamBrazil","home_teamColombia","home_teamCosta.Rica","home_teamCroatia","home_teamDenmark","home_teamEgypt","home_teamEngland","home_teamFrance","home_teamGermany","home_teamIceland","home_teamIran","home_teamJapan","home_teamMexico","home_teamMorocco","home_teamNigeria","home_teamPanama","home_teamPeru","home_teamPoland","home_teamPortugal","home_teamRussia","home_teamSaudi.Arabia","home_teamSenegal","home_teamSerbia","home_teamSouth.Korea","home_teamSpain","home_teamSweden","home_teamSwitzerland","home_teamTunisia","home_teamUruguay","away_teamArgentina","away_teamAustralia","away_teamBelgium","away_teamBrazil","away_teamColombia","away_teamCosta.Rica","away_teamCroatia","away_teamDenmark","away_teamEgypt","away_teamEngland","away_teamFrance","away_teamGermany","away_teamIceland","away_teamIran","away_teamJapan","away_teamMexico","away_teamMorocco","away_teamNigeria","away_teamPanama","away_teamPeru","away_teamPoland","away_teamPortugal","away_teamRussia","away_teamSaudi.Arabia","away_teamSenegal","away_teamSerbia","away_teamSouth.Korea","away_teamSpain","away_teamSweden","away_teamSwitzerland","away_teamTunisia","away_teamUruguay","tournamentFIFA.World.Cup","tournamentFIFA.World.Cup.qualification","neutralFALSE","neutralTRUE"
"398",24,879.9,889,-1,478.44,478.44,431.99,215.99,370.1,111.03,372.19,74.44,1804,3,77,57,543.67,520,4,162.13,162.13,447.58,223.79,305.97,91.79,329.82,65.96,1677,14,43,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"399",6,0,57,0,0,0,0,0,0,0,0,0,1300,0,0,5,0,57,2,0,0,0,0,0,0,0,0,1300,0,0,"1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"400",5,0,60,-1,0,0,0,0,0,0,0,0,1985,-2,-24,2,0,60,3,0,0,0,0,0,0,0,0,1927,3,34,"0.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"402",20,0,671,0,0,0,0,0,0,0,0,0,1780,6,46,3,0,779,0,0,0,0,0,0,0,0,0,1994,3,31,"0.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"403",47,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,5,0,771,1,0,0,0,0,0,0,0,0,1300,0,0,"0.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"404",55,0,603,-3,0,0,0,0,0,0,0,0,1300,0,0,5,0,771,1,0,0,0,0,0,0,0,0,1300,0,0,"0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"405",64,0,472,0,0,0,0,0,0,0,0,0,1559,-6,-25,12,0,1154,0,0,0,0,0,0,0,0,0,1959,-1,-5,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"406",54,0,571,1,0,0,0,0,0,0,0,0,1300,0,0,1,0,1657,0,0,0,0,0,0,0,0,0,1300,0,0,"0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"407",3,0,1489,1,0,0,0,0,0,0,0,0,2061,1,103,1,0,1920,0,0,0,0,0,0,0,0,0,2165,0,53,"0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"408",20,893.16,893,-1,435.22,435.22,481.29,240.64,486.32,145.9,357.02,71.4,1300,0,0,1,1507.03,1507,0,699.69,699.69,830.72,415.36,610.39,183.12,1044.29,208.86,1300,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"409",100,324.32,327,2,47.49,47.49,237.59,118.79,246.99,74.1,419.69,83.94,1666,0,0,9,1141.56,1142,0,420.42,420.42,699.69,349.84,830.72,249.22,610.39,122.08,1993,-3,-116,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"410",4,1273.69,1306,0,646.92,646.92,691.82,345.91,517.77,155.33,627.63,125.53,1972,1,2,10,1125.5,1162,-2,537.05,537.05,611.48,305.74,646.4,193.92,443.99,88.8,2028,1,-16,"0.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"411",37,708.35,727,-1,290.29,290.29,492.04,246.02,308.01,92.4,398.22,79.64,1816,1,27,10,1125.5,1162,-2,537.05,537.05,611.48,305.74,646.4,193.92,443.99,88.8,2028,1,-16,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"412",15,0,52,0,0,0,0,0,0,0,0,0,1300,0,0,9,0,54,2,0,0,0,0,0,0,0,0,1300,0,0,"1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"413",1,0,66,0,0,0,0,0,0,0,0,0,2063,3,100,3,0,61,-1,0,0,0,0,0,0,0,0,1973,6,66,"0.5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"414",27,0,44,0,0,0,0,0,0,0,0,0,1692,13,52,3,0,61,-1,0,0,0,0,0,0,0,0,1973,6,66,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"415",7,0,734,-1,0,0,0,0,0,0,0,0,1965,2,41,25,0,652,0,0,0,0,0,0,0,0,0,1857,0,-7,"0.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
